"","klasifikasi","score","text"
"40","Positif",2," m tipsy  ending  virtual work  home day   glasses    much love everyone  "
"41","Positif",2,"   cool tho  came  work   headache   told   go home  m good   rest   night  "
"42","Netral",0,"quick reminder   camera   means others including  teacher  see  students amp  living situation "
"43","Positif",1,"  allow corona virus stop   working   still work  home  make good income   "
"44","Positif",1," moment  get home  work     "
"45","Positif",1,"   everyday   way home  work     "
"46","Positif",1,"  allow corona virus stop   working   still work  home  make good income    y "
"47","Positif",1,"  allow corona virus stop   working   still work  home  make good income   "
"48","Positif",3,"development   great field  work   many reasons  one   favourites     literally work  anywh "
"49","Negatif",-1," miss scaring finance bros   subway   visibly goth  re    subway anymore bc  get  "
"50","Positif",1,"good    big fan  joshuas  think  additio "
"51","Positif",2," work  home   laptop   touchscreen  aggressively affectionate cats  yeah learne "
"52","Positif",2,"faster maxbit internet speeds make  possible  staff  work  home   business  sales trips  fr "
"53","Positif",1,"  allow corona virus stop   working   still work  home  make good income   "
"54","Negatif",-1,"go fuck      confirmed  school district listed    confirmed case "
"55","Negatif",-2," feel  sad   seniors  live   areas     deserve  see young people drunk fu "
"56","Positif",1,"   package waiting   literally everyday   come home  work lol"
"57","Positif",1,"wanted  go   run   started raining   way home  work   m  gonna take    sign  god       "
"58","Positif",1," ve spent  phd learning  turns    work  home friendly science  also incessantly keep notes amp links    "
"59","Positif",1," head  yahoo installing  nursery   office  telling    working parents     work  hom "
"60","Positif",1,"   man texts    food order      way home  work gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt"
"61","Negatif",-1,"  said hong kong  experienced  deteriorating security situation   months  said  bank   "
"62","Netral",0,"  confirmed  school district listed    confirmed case  transmission  "
"63","Positif",1," stream tonight  barley got  sleep last night   m definitely feeling    pretty much heading str "
"64","Negatif",-1,"  biting question "
"65","Positif",1," management  work   ace  gm told us     might  feeling    difficu "
"66","Positif",1,"hmu   looking   job hr ot customer service financial rep   work  home till june  bacc  office "
"67","Netral",0,"  confirmed  school district listed    confirmed case  transmission  "
"68","Negatif",-1,"thats   used     get home  work    dark asf outside    dont wanna   shit"
"69","Positif",1,"   work since    currently  hour away   home   already   hours   "
"70","Positif",1," know   people    work  home  last year  lockdown flew    caribb "
"71","Negatif",-1,"yeah    common argument healthcare providers take  oath  help sick people  certai "
"72","Netral",0," teachers education workers live  areas without access   necessary interne "
"73","Positif",1,"let  get  straight   mps earn k  year get subsidised food amp drinks  work  put  mortgage   "
"74","Netral",0," remembered   mom  told    listened   song every night    driving home  "
"75","Negatif",-1,"   reckon   fact  remote learning means moms disproportionately  lost "
"76","Positif",1," wife    work  home   many   neighbors     home school  children   "
"77","Netral",0,"thanks  letting  know  huskies   worst dogs     live   apartment  work  home "
"78","Positif",1,"  friends   banking industry   saying  competitors  offering permanent work fro "
"79","Netral",0," gyms  open  restrictions mandatory masks limi "
"80","Positif",2,"  continue  work  home  may  finding  difficult  perfect  work life balance      things "
"81","Netral",0," kansas city chiefs  going   super bowl  without offensive guard laurent duvernay tardif   took  year  fr "
"82","Positif",1," buy  twats  bag  toy cars  let  work  home"
"83","Positif",2,"  progress    people  home  hear  every day  work isn  done   shot    arm w "
"84","Positif",3,"   stay  home protect  nhs save lives      please follow government advice  travel  work   cannot work "
"85","Netral",0," going  lie    first thing  watched   got home  work "
"86","Positif",5,"hello welcome home  work thank   joining us  need  fund  incredible project please  thank "
"87","Positif",1,"  waiting     got home  work"
"88","Positif",1,"assemble      sakes     go back   office  say   work   hospital "
"89","Positif",2,"compared   first  one   easy finished   hour   commute home  work  "
"90","Positif",2,"  northwest pa   pouring rain amp going     overnight glad  work  home"
"91","Positif",1,"freelance recruiter   work  home   girls   female "
"92","Positif",1,"yeah  edited  game  saving bc  bf got home  work    gonna play  cod  "
"93","Netral",0," dead    whole concert   v omw home  work     "
"94","Positif",1,"  dad would come home  work  knew    get  ass    chair     "
"95","Negatif",-1," understand  many parents  struggling  remote learning due    inability  work  home  "
"96","Positif",1,"  remember  commercial property owner  gameshow host hologram  anthropomorphic oil slick richard tice  "
"97","Netral",0,"spontaneous item scavenger hunts   great  movement breaks  simple  key  never want  impose   par "
"98","Positif",1,"  buy products  help strengthen  economy  create jobs  home  applaud president biden  "
"99","Positif",1," took   hour amp  half  get home   usual commute  work  min dallas  please"
"100","Negatif",-2,"sick  bart entrances  closed  re  discouraging anyone  riding  re  trying  fucking get  work  home"
"101","Positif",2,"continue  work  home hybrid working happy working day      "
"102","Positif",3,"   mean time    enough bandwidth  effectively work  home  rural areas  outside  ottawa"
"103","Positif",1,"   cats  sleep  day    like helllo  m home  work    miss    "
"104","Positif",1,"work  home day   "
"105","Netral",0,"   lonely coming home  work  everyone   bed  "
"106","Negatif",-2,"omd   smell  mom ran   skunk already dead   way home  work    car smells gloriou "
"107","Positif",1,"sweeeet  get  work  home  rest   week thank  otitis media fever  covid rules"
"108","Positif",1,"even  rangers  cup contenders  knicks couldn  buy  win   finding    radio "
"109","Positif",1,"came home  work  shoveled  driveway   m hopping   shower stream next tweet   "
"110","Positif",2,"  got fry sauce    work desk   anyone let  work  home"
"111","Positif",2,"  make  return home  work even better"
"112","Positif",2,"  pandemic  changed   bill  wifi  re forced  work   school work  home  "
"113","Positif",1,"furlough money  m  right jack  many   middle classes  voted     able  w "
"114","Netral",0,"   sob  entire way home  work maybe"
"115","Netral",0,"re covid vaccination teachers  admins   grocery workers grocers  less insurance e "
"116","Positif",2," m ready  come home  work   home cooked meal   babe  gotta find one"
"117","Positif",1,"work  home     "
"118","Positif",1,"wife brought home food  kids   last night  work  ll   tap  one   soon   "
"119","Positif",2,"masks   great literally  one   subway could tell   bawling  fucking face    way home  work tonight yay"
"120","Positif",2,"boutta start making beats every night  get home  work   fun"
"121","Netral",0,"  exhausting  virtually impossible  work  home   c "
"122","Netral",0,"  came home  work   tell   like  bullshit      accuses      "
"123","Positif",2," love     snowing   way home  work    "
"124","Positif",2," work  home posture   like"
"125","Netral",0,"made intense eye contact   girl waiting outside  line   bar   walk home  work   think  f "
"126","Negatif",-2," discovered today   saddest part  still   able  taste  smell    couldn  smell  "
"127","Positif",4," super grateful right     educators  work extra hard  educate  next generation ii  essential work "
"128","Positif",1,"check    home work outs   "
"129","Netral",0," company   hiring freeze   moment   m waiting    get paid pretty damn well  bei "
"130","Positif",1,"list   work  home"
"131","Positif",2,"came home  work amp met  room clean amp  bf laying   bed    "
"132","Positif",1,"okokok time  go work    make dinner  kat   dinner  shes home  wrok sooon"
"133","Netral",0,"  ve  teaching remotely  home since march    recently  working  boundary setting   "
"134","Netral",0,"   know   may   made  home   months ago  getting close  partnership   thi "
"135","Netral",0," intro guys   amritha  kerala actually   got settled   australia  marrying  came  aus f "
"136","Positif",2," reply    good morning texts  night   get home  work"
"137","Negatif",-3,"technician   fasten things  might   fucking problem    around breaking connections   "
"138","Positif",1,"anyway   best friend want  get home  work already  pay fucking attention     "
"139","Positif",1," got home  work   dolph pumping     gym"
"140","Negatif",-2," m  exhausted  going  grocery store  anxiety  threw  roof  try "
"141","Positif",2," might  something like   ll need  check   bits box   get home  work though"
"142","Positif",2," got home  work  yeah  ll give   go       helping couple people       "
"143","Positif",1,"      havent even   chance  listen   album yet   got home  work"
"144","Netral",0," m  tired   time  m back home  work    eat dinner bath  talk   boyfriend  mins  sleep"
"145","Positif",2,"australia  tribez retweet  win food poisoning air vehicles fart okcupid work  home facebook went filet mignon c "
"146","Positif",3," know  left leaning work  home wonks   really proud    supporting  minimum wage   "
"147","Positif",1,"oh     working  work  home mmmkay"
"148","Positif",2," get home  work around like   want     later sets"
"149","Netral",0," hope  story   media tells today re  photo op visit   airport     launched  expensi "
"150","Positif",2,"people applied   state  hawaii  remote work program people applied  get  free trip  haw "
"151","Positif",3,"fifth harmony ty dolla ign work  home feat ty dolla ign"
"152","Netral",0," brought  plant home  work bc    struggling    bf looked   cat  said   really brought ano "
"153","Negatif",-2," doesn   establishment  admit   entire lockdown   political ploy  destroy  econ "
"154","Netral",0,"weeks eh b "
"155","Positif",2,"    understand   work  home  fifth harmony didn  go number one    "
"156","Positif",2,"got home  work saw    took  jog   good sir"
"157","Positif",1,"first work  home  wait  line  home"
"158","Positif",1,"hiii  would love  hear    d  jamming lik "
"159","Positif",1,"  like hey   x amount  money   date   date    quarantining noth "
"160","Positif",2,"   work overtime   genuinely     resilience      office  work  home party tonight  "
"161","Positif",1,"  news  boyfriend  coming home  work today   shein order   "
"162","Negatif",-1,"  toking    friend  garage one summer afternoon  high school  everyone fell "
"163","Positif",1,"  work  home     mom    watch  game       "
"164","Positif",2,"got home     morning  work  get  least  next days  work  pay   covid test n "
"165","Netral",0," data cap  ridiculous especially  work  home    house   regularly hit tb  "
"166","Positif",3,"decided  pick   booster pack   way home  work  target   glad   one pack magic"
"167","Positif",2,"work  home data entry jobs part time jobs online jobs data entry work  home jobs typing job"
"168","Positif",2," therapist  worked  opted  continue  work  giving birth prematurely   could save "
"169","Positif",1," work  school guess  many assignments  got done today working  home"
"170","Positif",2,"  stokoe hours late  work today   works  home   "
"171","Positif",1,"  zero exposure   fully paid  work  home  cannot  "
"172","Netral",0," da fuck    getting vaccinated   re  younger     work  home lmao"
"173","Positif",1," seriously came home  work  decided  shovel   parking spots  front   town house   "
"174","Positif",2,"still available   work  x  postcard johnny ten hendery jisung group     ten yangyang   home taeil haechan chenle"
"175","Netral",0," thought   going  come home  work   chores   joke   "
"176","Netral",0,"crucially    things    achieve working  home  therefore travelling  "
"177","Netral",0,"typical dems want  teach  home indefinitely  get paid full boat get  shot get back  wo "
"178","Netral",0,""
"179","Positif",4,"lol     finest moment    thank goodness  work  home since covid  raccoon look   "
"180","Negatif",-2,"went home  work early   take  fat nap bc  bitch   sick af "
"181","Negatif",-1," monster graduated puppy class tonight    less  hours  peeing   bed    "
"182","Positif",1,"y  stay home  work   snows    stay away   club   pandemic"
"183","Positif",2," job ain  letting us work  home     like        "
"184","Positif",1,"hey yall   m building  ig    work  home     first paid post     big deal   lol "
"185","Negatif",-1,"due   impending weather newport school district  operate virtually  tuesday january students  complete "
"186","Positif",2,"work amp school  home  actually  blessing"
"187","Positif",2,"literally  school counselling  home   best   reason  back  work  commuting "
"188","Positif",2," moon shining bright  downtown winnipeg   way home  work today"
"189","Netral",0," m   rural town called cala   eastern cape  work  home due  lockdown   bad networ "
"190","Positif",2,"thank god  work sort  kinda  home family owned business      walk   another  "
"191","Positif",1,"work  home   firstime   firstime  experienced self quarantine  coming  close contact wi "
"192","Positif",2,"coming home  work amp cooking dinner feeling like  whole assss se ora"
"193","Netral",0,"   know   may   made  home   months ago  getting close  partnership  "
"194","Negatif",-1," dyslexic  never   cruel   looked   clock   computer  thought  said   "
"195","Positif",3,"dog walks work  home pho hong  honestly  pretty perfect birthday"
"196","Positif",1,"oh wfh work   home"
"197","Positif",2,"yeah  ll try  m working  home  still  people work   like   would answer  "
"198","Netral",0," goes  work done   sun  freaking hard  breath kalau dah work  home mana nak ras "
"199","Netral",0,"big night  national city    re hearing   tod overlay  old town amp discussing  housing element update  "
"200","Positif",1,"pot holders custom kitchen gifts kitchen linen buffalo check work  home marshmellows cooking housewarmin "
"201","Positif",3,"awesome  got back home  work getting  ready   code   "
"202","Positif",2,"  would like  work  home  boss"
"203","Netral",0," m looking forward  presenting feb   annual meeting hosted   alma mater    "
"204","Negatif",-1,"agree   uk  folk coming back  ireland unfair  re  risk     ireland soc "
"205","Netral",0,"  home  would cost years  average entry level programming wo "
"206","Positif",1,"waiting   boyfriend  get home  work   haven  seen    min  get  pups feel  lol           "
"207","Netral",0," poor mam comes home  work stressed  shattered every night working hours longer    trying  "
"208","Positif",1,"wait   figure       save money   people   work  home  "
"209","Positif",1,"   somewhere  run  permanent work  home etc   d take  otherwise    "
"210","Positif",3," voice  text thing  somehow left   transcribed    text message pretty perfectly captures  work  ho "
"211","Netral",0,"   go thru  shit   wife  going  start work  home yet  cannot stop   checking "
"212","Positif",2,"ive    much better  history  english lang lit ever since     work  home uh"
"213","Positif",2,"microsoft shares surge  new high  work  home revenue boost  "
"214","Positif",1," solution   pandemic lifts  local offices  work  home workers  congregate get tech supp "
"215","Positif",1," casual typewriter    campus office        clearly  m failing  work  home"
"216","Positif",3," super grateful right     educators  work extra hard  educate  next generation ii  essenti "
"217","Positif",3," hour work  home  benefits amp bonuses         kinda shit  like  hear      "
"218","Positif",3,"one positive   pandemic    got  home gym    ideal   work   silence without talking "
"219","Negatif",-1,"  use  app  chat w  bf amp friends due   anxiety   appear online  wa especially  night   wor "
"220","Positif",3,"cw food poultry   love crockpot cooking came home  work  perfectly cooked chicken breasts added  left "
"221","Negatif",-1," need doctors nurses  caretakers  stop spreading  virus police  follow    "
"222","Positif",2," work  home life allows   dress like  pros   bad gig haha"
"223","Positif",2,"shares surge  new high  work  home revenue boost   trending "
"224","Netral",0,"finally home  work   stop   chill"
"225","Positif",3," m glad charlie  able  get  week   work  glad  ll  able  return next week  won  miss mu "
"226","Positif",1,"  work  home  course ima    house"
"227","Negatif",-1,"imagine  dad mum coming home  work   new strain  weed  surprise"
"228","Positif",1," day gifts  couples  work  home together"
"229","Positif",1,"y   wife would always say moms home   got back  work      son would call   moms home  "
"230","Positif",2,"strategies   healthy work life balance  "
"231","Positif",1,"   answer  paraded    almost  full year  politicians pretending  work  "
"232","Positif",1,"new bride new monogram   one wears  better  kristel   sporting  soon   ne "
"233","Netral",0," see   fat ass mexicans named emilio  history class  work  home depot   "
"234","Positif",2,"mogget  adjusting   work  home life quite nicely    ask"
"235","Positif",2," m  nice   work  home     really check  tone  voice anywhere"
"236","Positif",3,"yes  genuine  influencer  would work harder  create new  original content   safe "
"237","Negatif",-1,"   funny  watch  people whine   got home  work  play   really   "
"238","Positif",2," black camaro pulled    today    drivin home  work   like girls   door "
"239","Positif",2,"analysts expect apple  grow  year  work  home activities boost sales  mac"
"240","Positif",1," made  home  work let  start cleaning "
"241","Positif",1,"everyone  ssdi    prioritized  vaccines  fit year olds  work  home  figures     know"
"242","Positif",1,"  really remarkable  got four guys  outside  picture   usmnt  one pandemic trun "
"243","Positif",1,"moral   story   want  become  tech billionaire   work   home move   garage"
"244","Positif",2,"  present day  re able  connect   many exceptional potential buyers fascinated   main work "
"245","Positif",2,"isn  work  home great   "
"246","Positif",1,"  everybody  working  home  ve  thinking  ways   balance work  life  living    "
"247","Netral",0," high levels  ongoing infection make  standard tools  mitigation social distancing masks  work  "
"248","Positif",1,"  modelling   privileged  go   nonessential reasons   photo op trip   airport  "
"249","Positif",1,"  car sliding   way home  work       "
"250","Positif",1," got home  work"
"251","Positif",2,"since  wife   work  home  creative place hasn  changed  years   taken tim "
"252","Positif",3," hardest part  moving   pandemic  establishing good  work  home  routine  takes  solid "
"253","Positif",2,"australia  tribez retweet  win food poisoning air vehicles fart okcupid work  home facebook went filet mi "
"254","Netral",0,"  got home  work  first thing  smelled   walked   door  rubin cologne     made  feel "
"255","Positif",1," love   long       drive   fill   bird squirrel feeders make "
"256","Positif",1," good friend    iranian asylum seeker    waiting    subsistence   allowanc "
"257","Positif",1,"ben bartlett serving  work  home parent  zoom realness  "
"258","Netral",0," feel   re    boat everything  closed visits  prohibited    curfew  "
"259","Positif",2," homeschool   work  home   ve   much easier time    yo daughter  re "
"260","Positif",2,"yes   lucky   lot  ways  work  home remain employed  avoided covid  ev "
"261","Positif",1," baby comes home  work   "
"262","Positif",4," work    get home  m going  accomplish  much   home  work   m going  accomplish half  thing   currently sips wine"
"263","Positif",2," people really come home  work   like  greeted   dog"
"264","Positif",1,"roomie gonna sleep  day tomorrow   coming home   exhausting day  work  eight   go  "
"265","Positif",1,"cybereason offers  new take  protecting   work  home laptops  phones"
"266","Positif",3,"dear pals today  m helping  mum work  home      think    agree  m   really good job     paw wa "
"267","Netral",0,"working  home  starting  fall apart top bankers warn financial post"
"268","Positif",1,"work  home admin   homeschooling group drives hrs  gets covid vax   county    live  bc   "
"269","Netral",0," friend  mine   funeral home director   saying last fall   work  busier becaus "
"270","Positif",2," put  fine point   work  home  miserably try  juggle work  supervising school  going  stop   "
"271","Positif",1," work  home   gotta get   house  night    time"
"272","Positif",1,"work  home   doggo     "
"273","Positif",1,"   daughter kept      got home  work around    slept till noon  "
"274","Positif",1,"  way  work  home lol crosswinds tagaytay"
"275","Positif",1,"yakuza mom  almost done  work   ll try  gather  thoughts   twitlonger   get home    go "
"276","Netral",0," m sorry  m late getting home  work     close tabs   computer"
"277","Positif",2,"orang suruh work  home korang buat le tour de langkawi   work  home   annual leave   alwa "
"278","Netral",0,"  could get home  work  dark  would  greattt"
"279","Negatif",-2," weather service isn  making  noise  snow   map  starting  spook   flashbacks   n "
"280","Negatif",-1," whatever happens   hospitalist   refuse  flu vaccine  suppose     "
"281","Positif",1,"wife  honey please   forget  buy bread   re coming home  work  lest  forget  girlfriend chi "
"282","Netral",0,"   much  get done    absolutely zero energy   get home  work   sucks"
"283","Positif",1," got  fucking raise   work performance last year  worked full time  home  parenting  toddler ful "
"284","Positif",3,"ohhhh yeah  re lucky lmao    best thing  get home  work make dinner  watch star wars"
"285","Positif",3,"hi guys   work  home  sell tables suitable   work station   office table  ft  ft    "
"286","Netral",0,"   metering  internet customers  tb   middle   global pandemic  wife   wo "
"287","Positif",1,"   one charger   phone takes priority   need music   way home  work"
"288","Positif",2,"top tips  work  home"
"289","Positif",1,"going directly home   long day  work driving slow  well"
"290","Positif",2,"na   got home  work like  hour ago    gravy baby"
"291","Positif",1,"wow microsoft reports revenue growth hasil dari lonjakan cloud business ramai sangat ni work  home"
"292","Positif",1,"    try  get dressed even though  work  home  almost answers door  undies   times"
"293","Positif",1," love getting home  work   clock    second job   apparently   kid  bitch"
"294","Positif",2,"  relief si dang gets  remain  home   family amp community  much work needs   done  making sure si  "
"295","Positif",4,"fantastic well deserved    seeing    work  home   lovely  makes  feel bet "
"296","Positif",1,"slept  day  stayed home  work also ordered  new phone tracking said new phone  delivered  phone "
"297","Positif",1,"tomorrow  wednesday  means      days  work  home     m sad    love  "
"298","Positif",1,"dudes  ve  working  home since march  still traveling across  country  like  lol    know ho "
"299","Positif",1,"working  home    hardest part  transitioning   first dev role  work  client provided compu "
"300","Netral",0,"got rear ended   drive home  work today   instead  getting pissed      awful start   "
"301","Positif",1," job duck   company  hires virtual assistants  work  home full time  u  based companies      "
"302","Positif",1,"learning lessons  lockdown   staying  home work studies    point  assume  net neutrality comes "
"303","Positif",2,"privacy teams helped navigate  pivot  work  home"
"304","Positif",3,"osiel waited    come home  work  nap like    know    ever nap  work even   sa "
"305","Netral",0," mom   usually order subs   local shop   every  friday  order online  grab    w "
"306","Positif",1," dad used  tape    would watch    afternoon     work  came home  school one d "
"307","Negatif",-1,"literally got home  work last night    serious mental breakdown woke   new bitch amp reminded       "
"308","Negatif",-1,"today    shit    got home  work   fucking batteries died   thermostat    free "
"309","Positif",2,"also known  best work  home lunches"
"310","Positif",1," man hit     job today   work  home"
"311","Netral",0,"  way home  work  different  brazil    said  wanted  move   place colder     missed sn "
"312","Netral",0," ray  hope   friend jason williams   family  home  destroyed  fultondale last night   thought  "
"313","Negatif",-3,"comms  dire  hospital  beyond crisis  ve  beds icu  full staff  sick ambulances stacking "
"314","Positif",2,"work  home data entry work  home jobs online jobs data entry jobs part time jobs typing job"
"315","Positif",1,"aight  ll download    get home  work send   inv"
"316","Netral",0,"  pm   m still walking home  work  crave death"
"317","Positif",1," yet  haven  made  home  work yet  m   way     stop   drug store  "
"318","Positif",1,"question  someone get  snow day   work     working  home since march"
"319","Negatif",-1," people would say tools   poor substitute   person collaboration   therefore seen  "
"320","Netral",0,"working  home   solution  sma ll businesses amid covid social distancing read   "
"321","Positif",1,"excitement  brewing  interchange hq   slowly return   office  ve got  covid safe plan physical "
"322","Positif",3,"fascinating look   companies  embraced   work  home  work  anywhere"
"323","Positif",2," look   boys face   get home  work   best feeling ever   "
"324","Positif",1,"  ever since starting work  home"
"325","Positif",3," anyone else get home  work   sit   chair   feels like hours   realize   like minutes"
"326","Positif",1," guide  everything  need  work  home according  product reviewers"
"327","Netral",0,"  got home  work  im  tired  seeing  picture   container  cream cheese labeled  cheam "
"328","Positif",2," home chenle work  johnny work  ten"
"329","Positif",1," work  morris county although largely working  home since march  "
"330","Netral",0," parents  refusing  drive     work tomorrow     take  uber       tak "
"331","Positif",2,"weeks  vacation time  work  year   one take vacation time    work  home    go anywhere frik"
"332","Positif",1,"  go   pub   re still open  stay  home   airports  open  work f "
"333","Netral",0," broke    way home  work  inhale exhale"
"334","Positif",2,"y   got called back  ve  back  jan th       won  allow us  work  home"
"335","Negatif",-2,"back home  work showered amp  terrible pain    manager also warned   sitting despite  fact    "
"336","Positif",4,"stop thinking   m  work     come home  work   see  bright smile   brightens "
"337","Netral",0," brother child amp  spend  afternoons  home  work reciting tiktok sounds amp   ashamed"
"338","Positif",1,"   lady  know   rich  steals food   work whole cheeses entire bunches  bananas filling "
"339","Positif",1,"work computer switched   diffrent working  home  time"
"340","Positif",1," sun wasn  even     barely roused  sleep  hawks coming home late  work per usual"
"341","Positif",1,"food       get  dinner   way home  work"
"342","Positif",2," actually   feel comfortable going back  work  m ok  working  home"
"343","Netral",0," m guessing    probably  type  employers  think   still   dres "
"344","Netral",0,"every time  open  bedroom room   get home  work  lunch  computer turns       extremely weird"
"345","Positif",1," took   whole ass hour  get home  work    didn  even get passed rd gear"
"346","Positif",1," didsbury today  saw  brilliant work   emergency services    defend  area  floodi "
"347","Positif",1,"  kept  really strict work life balance    work  home era  clock    clock  ha "
"348","Positif",1,"oh grand  get home  work  mum  left  key   lock  everyone  phones     stuck   garden  beers"
"349","Netral",0,"security startup x cloud cybereason offers  new take  protecting   work  home laptops  phones"
"350","Positif",2,"   excited  find  box waiting     got home  work   took   purchases  "
"351","Positif",2,"sounds like  unessential work    done  home"
"352","Negatif",-1,"lost work time  people working  home   issue members  local government   fully d "
"353","Netral",0,"  businesses  suggested working  home indefinitely many companies   likely choose  pursue  hybr "
"354","Positif",1," grandkids   well   surface amp hybrid schooling  parents working  hom "
"355","Positif",5," love coming home  work   clean cozy home  dogs always look forward  seeing    love getting   "
"356","Positif",1,"claims customer experience journey manager work  home allstate insurance company"
"357","Positif",3," unlocked  new work  home   partner achievement today  significant  overheard  conversation  ask "
"358","Positif",2,"absolutely love  view every time  head home  work"
"359","Positif",3,"im home  work  hope  re    good day night  ll work  videos  post tomorrow"
"360","Positif",1,"  work  home"
"361","Positif",1," m torn    really miss snow     holy shit   degrees outside   got home  work today    awesome  "
"362","Positif",1,"thank   majority   family live  multi generational households people  bringing  "
"363","Positif",2," read  headline      m  work  home  d personally  happy  give   place  "
"364","Positif",2,"cool lol mine  something  happened irl  got sent home  work bc  lockdown   la "
"365","Positif",1,"doves  hits different   way home  work  night  "
"366","Positif",5,"   interesting privilege dynamic playing    self righteous  m going  work  home   m res "
"367","Positif",5,"   us fortunate  work  home    time  refresh  work space  sturdy secondhand furn "
"368","Netral",0,"mom came home  work   cold   quarantined      spend  next  days monitoring  sy "
"369","Positif",1,"work  home   style"
"370","Positif",4," m incredibly grateful   able  work  home right    fact   re  busy making something tha "
"371","Netral",0,"mine  grown working  home   mn   parents      least  one "
"372","Netral",0,"home  work    video stuck   brain  hours"
"373","Positif",1,"  record   grateful    job let alone one  allows   work  home   miss going outsi "
"374","Positif",3," worked right   hallway  sekou  turner    left  work  home last march  "
"375","Positif",1,"rd week work  home    university brought back freshman students  winter qtr   "
"376","Positif",1,"oh   job  work  home answering emails   literally   would "
"377","Positif",1,"come  bro    home  work     rest day  couldnt come     day   week   "
"378","Positif",1," shit  blows     one  home  arrived  day earlier cool      way  work  "
"379","Positif",1,"hitting work  today  "
"380","Positif",2,"  glad   found      got home  work   dont know   wouldve  prof "
"381","Positif",1,"something   commute home   move  one end   couch      work  home  lates "
"382","Positif",1,"work   job  leaves   tired   anything   get home  doesn  pay enough  "
"383","Netral",0,"  like  dad coming home  work completely drained  exhausted   soon   son says dad "
"384","Positif",2," boss called   congratulate     past year  m   productive employee   lockdown suits "
"385","Netral",0,"please add   additional payment  credit  help us   cost  ve absorbed  buying technol "
"386","Netral",0,"  re wondering  bad  brain    know    way home  work today  drove past   house"
"387","Positif",1," got home  work nowww   "
"388","Negatif",-3,"   tiring  mentally draining feeling fearful   parents health   pandemic    help  "
"389","Netral",0," sure    reason   vaccinate  teachers yet unless otherwise prioritiz "
"390","Negatif",-1," m  ignorant   fact   lot  people rely  schools  daycare     ridicul "
"391","Positif",1,"work  home homeschool   "
"392","Positif",2,"impressed   work local athletic directors  leadership teams  done  get   fan less  games live st "
"393","Positif",3," isn   neat   wanted      m otherwise pretty happy   setup  ve installed  "
"394","Positif",1," still got  capitol fenced      ride  independence  go home  work"
"395","Positif",1," work  one   largest canadian companies   financial sector     need  spe "
"396","Positif",1," came home  work dinner  cooked  spliff rolled  bath  set  face products  mirror    usual ni "
"397","Positif",1,"fr even especially  living   apartment    like moving really far   lease  ove "
"398","Positif",1," cat     little shit  wanted  take like  hour nap   got home  work  ate   kept "
"399","Netral",0," min  work  home   hate life  entire time"
